claim_id,policy_id,claim_date,cause_of_loss,claim_amount,claim_status,paid_amount
CL000009,P00020,2023-11-09,Flood/Water Damage,17812.32,Repudiated,0.0
CL000386,P00739,2023-12-18,Loss,2908.03,Repudiated,0.0
CL000255,P00508,2024-10-13,Third Party Damage,2614.85,Approved,2614.85
CL000002,P00007,2025-05-28,Collision,9966.95,Rejected,0.0
CL000036,P00061,2026-05-13,Fire,4396.43,Approved,4396.43
CL000262,P00528,2026-03-07,Third Party Property Damage,3473.64,Rejected,0.0
CL000040,P00068,2023-12-21,Fire,23404.41,Approved,23404.41
CL000053,P00104,2026-07-17,Windscreen,9059.82,Approved,9059.82
CL000320,P00625,2025-10-10,Third Party Property Damage,16304.23,Approved,16304.23
CL000230,P00463,2026-04-12,Windscreen,4126.11,Approved,4126.11
CL000091,P00189,2026-03-27,Water Damage,4686.3,Approved,4686.3
CL000160,P00324,2026-06-03,Windscreen,2500.92,Rejected,0.0
CL000022,P00042,2026-05-13,Theft/Burglary,3619.67,Approved,3619.67
CL000207,P00413,2025-10-06,Hijacking,9341.78,Rejected,0.0
CL000296,P00586,2026-01-12,Windscreen,5025.49,Repudiated,0.0
CL000364,P00701,2026-07-04,Theft/Burglary,2290.34,Approved,2290.34
CL000255,P00508,2024-10-13,Third Party Damage,2614.85,Approved,2614.85
CL000339,P00669,2026-07-07,Fire,5726.12,Approved,5726.12
CL000200,P00407,2026-04-16,Third Party Injury,3653.8,Approved,3653.8
CL000132,P00277,2026-04-24,Water Damage,1633.83,Approved,1633.83
CL000233,P00467,2026-07-13,Theft,3331.4,Approved,3331.4
CL000363,P00696,2025-10-24,Third Party Property Damage,14304.27,Rejected,0.0
CL000307,P00608,2025-12-31,Water Damage,3019.29,Rejected,0.0
CL000112,P00241,2024-12-28,Theft of Vehicle,14260.38,Repudiated,0.0
CL000343,P00675,2025-10-11,Fire,12621.07,Pending,0.0
CL000383,P00737,2026-02-09,Loss,523.58,Approved,523.58
CL000328,P00645,2024-11-21,Third Party Injury,12267.97,Approved,12267.97
CL000087,P00180,2026-06-04,Flood/Water Damage,9841.66,Approved,9841.66
CL000225,P00456,2025-11-21,Malicious Damage,6262.88,Rejected,0.0
