payment_id,policy_id,billing_month,premium_due,amount_paid,payment_status
PM0014407,P00740,2025-06-01,758.16,758.16,Paid
PM0003418,P00168,2026-05-01,236.69,236.69,Paid
PM0006371,P00327,2023-07-01,428.66,428.66,Paid
PM0008922,P00458,2026-05-01,109.32,109.32,Paid
PM0013262,P00681,2026-01-01,187.31,187.31,Paid
PM0013194,P00676,2025-10-01,349.53,349.53,Paid
PM0006975,P00356,2026-07-01,69.02,69.02,Paid
PM0013860,P00710,2026-01-01,153.73,153.73,Paid
PM0013838,P00709,2025-05-01,262.63,262.63,Paid
PM0004560,P00237,2026-03-01,155.16,155.16,Paid
PM0007901,P00410,2025-01-01,156.23,156.23,Paid
PM0007064,P00363,2026-04-01,30.3,14.04,Partial
PM0000905,P00041,2026-06-01,444.37,444.37,Paid
PM0002072,P00102,2024-09-01,406.58,406.58,Paid
PM0009995,P00514,2025-10-01,208.68,208.68,Paid
PM0008683,P00446,2024-08-01,130.98,130.98,Paid
PM0006450,P00329,2025-08-01,424.18,424.18,Paid
PM0009364,P00483,2024-02-01,149.54,149.54,Paid
PM0000648,P00028,2025-10-01,101.58,101.58,Paid
PM0012903,P00662,2025-09-01,135.48,135.48,Paid
PM0008136,P00421,2025-03-01,560.92,560.92,Paid
PM0005179,P00272,2026-07-01,176.81,97.23,Partial
PM0008995,P00466,2023-09-01,167.02,167.02,Paid
PM0010559,P00541,2025-04-01,116.95,116.95,Paid
PM0009262,P00477,2025-06-01,708.84,708.84,Paid
PM0004118,P00211,2023-09-01,481.39,481.39,Paid
PM0004853,P00255,2024-12-01,444.0,444.0,Paid
PM0008417,P00436,2024-09-01,410.56,410.56,Paid
PM0007228,P00373,2026-07-01,362.95,362.95,Paid
PM0014310,P00736,2025-10-01,122.83,122.83,Paid
PM0003639,P00183,2023-06-01,179.81,179.81,Paid
PM0009763,P00503,2024-01-01,165.85,165.85,Paid
PM0012236,P00632,2023-06-01,213.13,213.13,Paid
PM0012381,P00636,2025-11-01,152.85,152.85,Paid
PM0003127,P00156,2025-03-01,231.94,231.94,Paid
PM0001563,P00073,2024-04-01,35.19,35.19,Paid
PM0011795,P00611,2025-08-01,552.64,552.64,Paid
PM0002701,P00136,2024-09-01,349.29,349.29,Paid
PM0008202,P00426,2025-10-01,240.12,240.12,Paid
PM0007367,P00380,2025-06-01,367.3,367.3,Paid
PM0010413,P00534,2025-11-01,79.64,79.64,Paid
PM0010814,P00552,2024-11-01,1031.65,1031.65,Paid
PM0009666,P00497,2026-03-01,294.83,294.83,Paid
PM0005142,P00271,2025-09-01,286.75,286.75,Paid
PM0008608,P00444,2024-09-01,160.87,160.87,Paid
PM0010689,P00547,2025-02-01,417.6,417.6,Paid
PM0006719,P00343,2024-05-01,97.41,97.41,Paid
PM0011230,P00583,2024-11-01,68.95,68.95,Paid
PM0008821,P00452,2025-05-01,196.49,196.49,Paid
PM0001107,P00050,2025-09-01,405.72,405.72,Paid
PM0014551,P00749,2024-08-01,243.11,243.11,Paid
PM0000842,P00039,2024-10-01,1099.84,1099.84,Paid
PM0011501,P00595,2024-02-01,625.3,307.35,Partial
PM0000059,P00005,2025-06-01,182.33,0.0,Missed
PM0012787,P00657,2023-06-01,126.71,0.0,Missed
PM0007172,P00370,2024-12-01,138.19,138.19,Paid
PM0006404,P00327,2026-04-01,428.66,428.66,Paid
PM0011498,P00594,2026-07-01,182.88,182.88,Paid
PM0013121,P00673,2025-12-01,730.17,730.17,Paid
PM0003376,P00167,2025-01-01,379.76,379.76,Paid
PM0009401,P00484,2025-12-01,109.09,109.09,Paid
PM0004507,P00234,2024-04-01,101.87,101.87,Paid
PM0005985,P00312,2025-12-01,199.07,199.07,Paid
PM0006624,P00338,2024-09-01,127.34,127.34,Paid
PM0006496,P00332,2026-03-01,122.94,122.94,Paid
PM0004047,P00207,2026-06-01,95.37,95.37,Paid
PM0004620,P00241,2025-08-01,232.67,232.67,Paid
PM0001332,P00063,2026-04-01,606.65,274.55,Partial
PM0003102,P00156,2023-02-01,231.94,0.0,Missed
PM0003335,P00166,2024-10-01,263.35,263.35,Paid
PM0001987,P00096,2026-04-01,408.72,408.72,Paid
PM0011858,P00614,2025-05-01,82.1,82.1,Paid
PM0007005,P00359,2025-04-01,394.21,394.21,Paid
PM0001326,P00063,2025-10-01,606.65,606.65,Paid
PM0013233,P00679,2023-09-01,445.32,0.0,Missed
PM0008868,P00454,2025-02-01,258.55,147.9,Partial
PM0008392,P00435,2024-06-01,160.67,160.67,Paid
PM0009502,P00487,2026-07-01,378.75,378.75,Paid
PM0004677,P00245,2026-04-01,696.24,696.24,Paid
PM0014260,P00734,2025-08-01,137.75,137.75,Paid
PM0002195,P00107,2025-12-01,275.31,275.31,Paid
PM0008579,P00442,2026-04-01,89.15,89.15,Paid
PM0003487,P00171,2026-05-01,608.31,608.31,Paid
PM0011513,P00595,2025-02-01,625.3,0.0,Missed
