policy_id,customer_id,product_type,broker_channel,sum_insured,premium_monthly,inception_date,policy_status,lapse_date
P00108,C00140,Motor,Broker,507029,422.63,2025-06-06,Active,
P00655,C00376,Motor,Broker,109400,156.78,2024-04-15,Active,
P00074,C00206,Personal Liability,Broker,1000000,128.94,2025-08-10,Lapsed,2026-05-18
P00272,C00035,Household Contents,Direct - Call Centre,446398,176.81,2024-05-12,Active,
P00456,C00463,Household Buildings,Direct - Call Centre,2985943,459.62,2025-09-04,Active,
P00646,C00192,Household Buildings,Direct - Call Centre,576595,72.97,2024-11-06,Cancelled,2026-03-18
P00513,C00479,Portable Possessions,Broker,53223,80.59,2024-07-22,Active,
P00096,C00291,Motor,Direct - Online/App,554528,408.72,2023-04-07,Active,
P00149,C00004,Motor,Broker,189976,166.92,2023-12-24,Active,
P00649,C00009,Personal Liability,Direct - Call Centre,5000000,246.64,2024-02-18,Active,
P00481,C00241,Motor,Broker,179646,95.05,2026-07-31,Active,
P00406,C00270,Household Buildings,Broker,1747050,432.77,2025-10-08,Lapsed,2026-04-19
P00648,C00383,Motor,Broker,179935,161.57,2026-03-17,Active,
P00667,C00280,Motor,Broker,281988,232.57,2024-09-11,Active,
P00136,C00029,Motor,Bancassurance,333614,349.29,2024-04-24,Lapsed,2026-02-22
P00721,C00456,Motor,Direct - Call Centre,440565,248.01,2024-05-01,Active,
P00517,C00265,Portable Possessions,Direct - Call Centre,36096,57.45,2026-05-06,Active,
P00348,C00397,Motor,Bancassurance,433496,467.75,2025-04-15,Active,
P00297,C00315,Motor,Direct - Call Centre,197302,254.69,2025-03-03,Active,
P00647,C00130,Motor,Broker,289462,199.76,2024-11-17,Active,
P00312,C00293,Household Contents,Direct - Call Centre,587046,199.07,2023-04-25,Active,
P00711,C00400,Household Contents,Broker,649821,203.34,2024-04-08,Active,
P00741,C00373,Household Buildings,Broker,3323483,710.9,2025-07-26,Active,
P00474,C00120,Motor,Broker,520067,544.06,2025-05-02,Lapsed,2026-03-10
P00067,C00180,Household Contents,Broker,703658,198.85,2023-04-24,Active,
P00159,C00257,Portable Possessions,Direct - Online/App,128148,121.97,2025-01-26,Active,
P00614,C00368,Motor,Broker,88760,82.1,2023-01-15,Active,
